%%LOLT2	CRKT2
187.458	195.669
187.741	194.537
187.741	194.537
187.741	191.988
187.458	193.121
187.458	193.687
187.174	192.271
186.891	193.404
186.325	192.271
185.758	192.838
184.909	191.988
184.909	191.705
183.776	192.271
183.21	191.139
182.36	191.139
181.511	190.572
180.945	190.856
180.095	190.856
179.246	189.723
178.113	189.157
177.263	187.458
176.414	188.307
175.564	186.891
174.715	186.608
173.865	186.042
173.016	186.891
172.166	184.909
171.317	184.626
170.751	183.776
169.901	183.0882143
169.0781905	182.4411429
168.2906286	181.7132857
167.5463714	180.7831429
166.8534762	179.5292143
166.22	177.83
165.654	175.564
165.087	175.848
164.521	174.715
163.955	173.582
163.388	173.582
162.822	171.317
161.972	170.751
161.689	169.052
161.123	169.052
160.557	168.485
160.273	166.786
159.707	166.503
159.424	164.238
158.857	164.521
158.574	162.822
158.574	161.689
158.008	160.84
157.442	160.84
157.442	160.273
157.158	158.574
156.875	159.141
156.875	157.158
156.309	157.158
156.309	156.309
156.309	155.459
155.743	154.893
155.743	155.176
155.743	153.477
155.459	153.194
154.893	153.194
154.61	151.778
154.61	152.061
154.327	150.646
154.044	150.079
154.044	149.23
154.044	149.23
153.76	149.23
153.76	148.38
153.76	148.663
153.477	146.964
153.194	148.38
152.628	147.814
152.345	147.814
152.061	146.681
151.778	146.964
150.929	145.549
150.362	145.549
149.796	146.115
149.23	146.115
148.38	144.982
147.814	144.416
146.681	143.566
145.832	144.416
145.265	143.283
144.699	143.566
143.85	142.434
143	142.717
142.151	141.018
141.584	140.7821667
140.735	140.735
139.885	139.602
139.036	139.885
138.469	139.602
137.903	138.753
137.054	137.62
136.77	136.487
135.921	135.638
135.355	135.355
135.071	133.656
134.505	133.939
133.939	133.656
133.656	131.956
133.372	131.956
133.656	133.656
133.939	135.355
134.788	135.071
135.355	137.337
135.638	139.036
135.638	138.753
135.921	139.885
135.921	141.018
135.921	141.301
135.921	141.018
136.487	141.867
136.77	143.85
136.77	143.566
137.054	143.566
137.337	143.283
137.054	143.283
137.054	143.85
137.054	144.699
136.77	144.982
136.77	146.398
136.77	147.248
136.487	146.681
136.487	146.681
135.921	146.964
135.638	147.248
135.355	149.23
135.071	150.079
134.788	148.663
134.505	149.23
134.222	150.079
133.939	151.495
133.939	151.778
133.656	153.194
133.372	153.194
133.372	154.044
132.523	154.327
132.523	154.044
132.24	154.893
132.523	154.044
132.24	153.76
131.956	153.76
131.673	152.061
131.673	151.778
131.673	148.663
131.39	148.663
131.107	146.681
131.39	145.265
131.107	143.283
130.824	142.434
130.541	141.018
130.541	139.602
130.541	137.337
130.257	137.054
129.974	137.054
129.125	135.921
128.558	135.355
127.709	134.222
127.143	131.956
125.727	131.956
124.594	131.39
123.178	130.257
122.046	130.541
120.347	129.408
118.364	129.408
116.665	128.842
114.966	127.426
113.267	127.709
111.285	126.01
109.586	127.709
107.604	126.576
105.622	126.293
103.923	125.16
101.941	123.745
100.525	120.63
98.543	120.347
97.127	119.78
95.994	117.798
94.578	117.232
93.162	116.949
92.03	116.099
90.897	114.4
89.764	113.267
88.632	111.568
87.782	111.285
86.65	109.02
85.8	107.321
84.951	106.188
84.101	104.489
83.535	103.356
82.968	102.79
82.119	100.525
81.836	100.525
81.269	98.259
80.703	97.693
80.42	95.711
79.853	95.994
79.57	94.861
79.287	93.446
78.721	93.162
78.438	92.313
78.438	91.18
78.154	90.048
78.154	89.481
77.871	88.632
77.588	88.065
77.588	87.216
77.305	86.366
77.022	86.083
76.739	85.8
76.739	84.951
76.455	84.667
76.455	84.667
76.172	82.968
76.172	82.968
76.172	82.685
76.172	82.685
76.172	82.119
76.172	81.836
76.455	81.553
76.739	80.42
77.305	80.986
77.871	80.703
78.438	80.703
79.004	80.42
79.57	79.853
80.703	80.703
81.269	80.137
82.402	79.853
83.252	79.853
83.818	80.42
84.667	80.42
85.8	80.137
86.366	80.42
87.216	80.42
88.065	81.269
88.632	80.986
89.198	81.269
90.048	81.553
90.614	81.553
90.897	82.119
91.18	82.119
91.747	82.402
92.313	83.818
92.596	83.818
92.879	83.818
93.162	84.951
93.446	84.951
93.729	85.517
94.012	85.517
94.012	86.366
94.295	86.083
94.578	86.366
94.861	86.933
