%%RSRT2	TDDT2
38.228	46.156
37.661	45.873
37.661	45.59
37.378	45.307
37.095	45.307
36.812	45.024
36.812	45.024
36.812	44.8825
36.812	44.741
37.378	44.741
37.661	44.741
37.661	44.741
37.945	44.741
38.228	44.741
38.511	44.6558
38.511	44.5422
38.794	44.457
39.077	44.457
39.36	44.457
39.077	44.174
38.794	44.174
38.511	43.891
38.511	43.67538095
38.511	43.51905714
37.945	43.41394286
37.378	43.35195238
37.378	43.325
37.378	43.325
37.095	43.042
36.246	43.042
36.246	43.05241294
36.246	43.07957912
35.962	43.12983883
35.962	43.20953236
35.962	43.325
35.962	43.48258204
36.246	43.608
36.529	43.62697537
36.812	43.608
37.095	43.61956572
37.095	43.608
37.378	43.51963028
37.661	43.40758686
37.378	43.325
37.378	43.325
37.095	43.325
36.812	43.042
36.246	42.758
35.679	42.475
35.396	42.475
35.113	42.475
34.83	42.192
34.547	42.02319298
33.98	41.93878947
33.697	41.909
33.697	41.90403509
33.697	41.909
33.697	41.909
34.263	41.90091429
34.83	41.909
35.396	41.95751429
35.679	41.909
35.962	41.626
36.246	41.626
37.661	41.626
38.228	41.626
38.228	41.5979
38.511	41.5131
38.511	41.343
37.945	41.059
37.661	41.059
37.661	41.059
37.095	40.776
36.812	40.493
36.246	40.493
36.246	40.21
35.396	40.16283333
35.113	40.21
34.83	40.21
34.547	40.21
34.547	40.21
34.547	40.493
34.547	40.493
34.547	40.776
34.83	40.776
35.113	41.059
35.396	41.059
35.679	41.343
36.246	41.343
36.529	41.46428571
36.812	41.626
36.812	41.74728571
36.812	41.80388571
36.812	41.77154286
36.529	41.626
36.246	41.343
36.246	41.059
35.962	41.059
35.396	41.059
35.113	40.776
34.83	40.493
34.547	40.46874286
34.547	40.493
34.547	40.35554286
34.263	40.21
34.263	40.21
34.547	40.21
34.83	40.16283333
35.113	40.21
35.113	40.493
35.396	40.54016667
35.396	40.493
35.396	40.493
35.396	40.6345
35.679	40.776
35.962	40.776
36.246	40.776
36.246	40.776
36.246	40.493
35.962	40.21
35.962	40.21
35.679	40.21
35.679	40.21
35.396	40.21
35.396	39.927
35.396	39.927
35.113	39.927
35.396	39.644
35.679	39.644
35.962	39.644
36.246	39.927
36.812	39.927
37.378	39.93508571
37.661	39.927
37.945	39.87848571
38.794	39.927
39.36	40.21
39.36	40.25716667
39.927	40.21
39.927	40.21
39.927	40.21
39.644	40.21
39.36	40.21
39.077	40.21
38.794	40.21
38.228	40.21
37.945	40.21
37.661	40.21
37.661	40.21
37.378	40.21
37.095	40.493
37.095	40.493
37.095	40.776
37.378	41.059
37.378	41.201
37.378	41.343
37.945	41.626
38.228	41.81322095
38.228	41.909
38.794	41.91767433
39.36	41.88803704
39.644	41.86888123
40.21	41.909
39.927	42.05718646
39.644	42.192
39.36	42.192
39.077	42.192
38.511	42.2155635
38.228	42.192
38.228	42.05061901
37.945	41.909
37.661	41.88472246
37.378	41.909
36.812	41.91304626
36.812	41.909
36.812	41.909
36.812	41.909
36.812	41.91708571
37.095	41.909
37.095	41.86048571
37.095	41.909
37.378	42.192
37.378	42.23916667
37.945	42.192
38.228	42.192
38.794	42.192
39.077	42.192
39.077	42.192
38.511	42.192
38.228	42.192
37.945	42.192
37.378	41.909
36.812	41.626
36.529	41.48466667
35.679	41.343
35.113	41.059
34.83	41.059
34.547	41.059
34.263	41.059
34.263	41.059
34.263	41.059
34.83	40.776
34.83	40.776
35.113	40.776
35.396	40.776
35.396	40.776
35.679	40.776
36.246	40.776
36.812	40.776
37.378	40.776
37.661	40.82316667
37.945	40.776
37.661	40.493
37.378	40.21
37.095	40.21
36.529	39.927
35.962	39.644
35.679	39.36
35.113	39.077
34.83	39.077
34.83	39.077
34.547	38.794
34.547	38.794
33.697	38.794
33.697	38.794
33.98	38.794
34.547	38.794
34.547	39.077
34.547	39.077
34.547	39.077
34.83	39.077
34.83	39.22594737
35.396	39.36
35.396	39.31531579
35.679	39.18871053
35.962	39.077
35.962	39.077
35.679	39.077
35.396	38.9072
35.113	38.6808
34.83	38.511
33.98	38.511
33.98	38.228
33.697	37.945
33.697	37.945
33.697	37.945
33.414	37.945
33.414	37.945
33.414	37.945
33.414	37.945
33.414	37.945
33.697	37.945
33.697	37.945
33.98	37.945
33.98	37.945
34.263	37.945
34.547	37.945
34.83	37.945
35.396	37.8882
35.679	37.803
35.396	37.7178
35.113	37.661
35.113	37.661
35.113	37.70816667
33.98	37.661
33.697	37.378
33.697	37.35374286
33.414	37.378
33.414	37.24054286
33.131	37.095
33.131	37.095
33.131	37.095
33.131	37.095
33.131	37.095
33.131	37.095
33.414	37.095
33.697	37.095
33.697	37.095
33.98	37.095
34.263	37.095
34.263	37.095
34.547	37.095
35.113	37.095
35.113	37.095
34.547	37.095
34.547	37.095
33.697	37.095
33.414	37.095
33.131	37.095
32.848	37.095
32.281	37.095
31.715	37.095
31.149	37.095
31.149	36.812
30.865	36.812
30.582	36.812
30.582	36.812
30.582	36.812
31.432	36.812
31.998	36.812
34.263	36.812
36.812	36.812
39.644	36.812
44.174	36.529
48.705	36.529
51.82	36.529
53.802	36.51907018
54.935	36.51410526
55.218	36.529
54.652	36.57864912
53.802	36.529
51.537	36.246
50.121	35.962
48.139	35.679
45.873	35.679
43.891	35.679
41.909	35.679
39.927	35.962
38.228	36.246
37.661	36.812
36.246	37.661
35.679	38.511
34.83	39.644
34.547	41.059
34.263	42.192
33.697	43.325
33.697	44.457
33.697	45.59
34.263	46.156
35.113	46.723
34.83	47.006
34.547	47.289
34.263	47.289
33.697	47.006
33.414	46.723
33.131	46.44
32.848	45.873
32.281	45.307
31.715	44.457
31.432	43.891
31.149	43.042
30.865	42.192
30.299	41.626
30.016	41.059
30.016	40.493
30.016	39.927
29.733	39.36
29.733	39.077
30.016	38.511
30.016	38.228
30.582	37.945
31.149	37.661
31.998	37.378
32.564	37.095
33.131	36.812
32.848	36.6705
32.848	36.529
32.564	36.246
32.281	35.962
31.998	35.962
31.432	35.679
31.432	35.396
30.865	35.2545
30.582	35.113
30.299	34.83
30.016	34.83
29.733	34.547
29.733	34.547
29.45	34.547
29.45	34.547
29.733	34.547
29.733	34.547
30.299	34.547
30.299	34.547
30.582	34.547
30.582	34.547
30.865	34.547
31.149	34.547
31.149	34.547
31.432	34.547
31.432	34.547
31.149	34.547
31.149	34.547
30.865	34.547
30.299	34.263
29.733	34.263
29.166	34.263
28.6	33.98
28.317	33.8102
28.175	33.7253
27.892	33.697
27.751	33.697
27.609	33.697
27.609	33.697
28.175	33.697
28.317	33.697
28.6	33.697
29.166	33.697
29.733	33.697
30.016	33.697
30.299	33.697
30.582	33.697
30.582	33.697
30.582	33.697
30.582	33.414
30.582	33.414
30.582	33.414
30.299	33.131
30.016	33.131
30.016	32.848
29.45	32.848
29.166	32.848
28.883	32.848
28.6	32.564
28.317	32.564
28.317	32.564
28.317	32.564
28.317	32.564
28.6	32.564
29.166	32.848
29.166	32.89533333
29.45	32.848
30.016	32.848
30.299	33.131
30.582	33.131
30.865	33.131
30.865	33.131
30.865	33.131
30.865	33.131
30.582	33.131
30.582	33.131
30.299	33.131
30.016	32.848
29.733	32.848
29.45	32.848
28.883	32.848
28.883	32.848
28.6	32.848
28.6	32.848
28.55283333	32.848
28.6	32.848
28.883	32.848
29.166	32.848
29.166	32.848
29.733	32.848
30.299	32.848
30.34616667	33.131
30.299	33.131
30.582	33.131
30.582	33.131
30.299	33.131
30.299	33.131
29.733	33.131
29.733	33.131
29.45	33.131
29.45	33.131
29.166	32.9895
28.883	32.848
28.883	32.848
28.6	32.564
28.6	32.564
28.317	32.564
28.317	32.281
28.6	32.281
28.6	32.281
28.6	32.281
28.883	32.564
28.883	32.564
29.166	32.564
29.166	32.564
29.45	32.564
29.733	32.848
30.016	32.848
30.299	33.131
30.582	33.131
30.582	33.131
30.582	33.131
30.299	33.131
30.016	33.131
29.733	33.131
29.45	32.848
29.166	32.848
28.883	32.564
28.883	32.564
28.6	32.281
28.317	32.281
28.175	32.281
28.175	32.281
28.317	32.28908571
28.317	32.281
28.6	32.23248571
28.883	32.281
28.883	32.564
29.45	32.564
29.733	32.564
29.733	32.848
30.016	32.848
30.299	32.848
30.299	32.848
30.582	32.98545714
30.582	33.131
30.582	33.15525714
30.582	33.131
30.299	33.131
30.016	32.848
29.733	32.848
29.45	32.564
28.883	32.564
28.6	32.46966667
28.317	32.281
28.175	31.998
28.034	31.998
28.034	31.998
27.892	31.998
28.034	31.998
28.175	31.998
28.6	31.998
28.883	32.281
28.883	32.281
28.883	32.281
28.883	32.281
29.45	32.281
29.45	32.281
28.883	32.281
28.6	32.281
28.317	32.281
28.317	32.281
28.034	31.998
27.751	31.998
27.609	31.715
27.467	31.715
27.326	31.432
27.326	31.432
27.326	31.432
27.467	31.432
27.751	31.432
28.175	31.5735
28.317	31.715
28.6	31.715
28.883	31.715
28.883	31.80933333
28.883	31.998
28.883	32.281
28.883	32.281
28.883	32.3376
28.883	32.3659
28.317	32.281
28.317	31.998
28.6	31.998
28.883	31.998
30.299	31.998
31.715	32.04516667
32.564	31.998
33.414	31.715
34.83	31.5452
35.679	31.4603
36.812	31.432
37.095	31.432
38.511	31.432
39.077	31.715
39.927	31.998
40.21	32.281
40.21	32.848
39.644	33.414
39.644	33.98
41.626	34.263
41.626	35.113
45.59	35.396
62.863	35.679
65.412	36.246
68.527	36.529
73.907	37.095
88.349	37.095
91.463	37.378
91.747	37.945
91.747	37.945
91.747	38.228
92.879	38.511
97.127	39.077
102.224	41.626
110.719	45.873
120.063	51.253
129.974	56.351
139.885	61.164
149.796	65.978
156.875	70.509
163.105	74.756
169.901	79.287
175.848	83.252
181.794	87.499
186.891	91.747
191.988	95.428
196.802	99.109
200.2	103.923
203.598	108.454
206.147	113.551
207.279	119.214
207.846	124.028
208.412	129.125
208.412	135.355
207.846	141.018
207.846	146.398
206.713	152.345
205.014	157.725
203.315	163.388
201.333	168.202
199.067	173.016
196.802	177.547
193.404	181.794
190.289	186.042
187.174	189.723
184.343	192.838
180.945	196.802
177.263	198.784
174.149	201.333
171.034	203.881
167.636	205.014
164.238	206.43
159.99	207.846
156.026	208.695
152.061	209.2614
144.982	209.5732
139.885	209.6584
134.222	209.545
128.842	209.261
124.311	208.3641667
119.497	207.279
113.834	206.43
109.303	205.297
103.923	203.315
99.109	201.899
95.428	199.634
90.331	197.935
86.366	194.82
82.685	192.555
79.287	189.723
75.889	186.891
73.057	183.493
70.792	180.378
68.244	176.131
66.261	173.299
63.713	169.618
62.863	165.937
61.164	162.539
58.616	158.574
56.917	154.044
56.634	150.646
54.935	146.115
53.236	142.434
52.103	138.469
50.687	134.788
49.838	131.39
48.705	127.143
47.289	122.046
47.006	116.382
45.873	109.869
45.307	103.356
45.307	97.41
44.55166667	91.747
44.174	86.083
45.307	81.553
45.59	77.588
45.59	73.624
45.59	70.226
45.307	67.111
44.174	64.562
44.174	62.297
44.2023	60.032
44.1457	58.333
43.891	56.634
43.325	55.218
42.758	53.802
41.626	52.669
41.059	51.537
40.493	50.687
39.927	49.838
39.644	48.988
39.644	48.422
39.36	47.855
39.36	47.289
39.644	47.006
39.927	46.723
40.21	46.156
40.21	46.156
40.493	45.59
40.776	45.307
41.343	45.024
41.909	44.741
41.909	44.457
42.192	44.12666667
42.475	43.891
42.475	43.891
41.343	43.325
41.343	43.325
41.059	42.758
41.059	42.475
41.059	42.192
40.776	41.909
40.21	41.626
39.36	41.626
39.077	41.626
38.228	41.343
38.228	41.343
37.945	41.343
37.945	41.343
38.228	41.343
38.794	41.626
39.077	41.626
38.511	41.626
38.794	41.626
38.511	41.626
39.077	41.626
39.644	41.626
39.927	41.626
39.927	41.626
40.21	41.343
40.21	41.343
39.927	41.059
39.644	41.059
39.644	40.776
39.36	40.21
